λ,μ,p,n,MSE
11.421052631578947,6.2105263157894735,857,200,5,28.066003192102144
11.421052631578947,6.2105263157894735,905,200,5,29.71200726579645
11.421052631578947,6.2105263157894735,952,200,5,19.763835090017597
11.421052631578947,6.2105263157894735,1000,200,5,23.686709199831537
16.63157894736842,6.2105263157894735,100,200,5,2.8928136630880146
16.63157894736842,6.2105263157894735,147,200,5,75.68599744859578
16.63157894736842,6.2105263157894735,194,200,5,10.950554718336154
16.63157894736842,6.2105263157894735,242,200,5,8.816570209557778
16.63157894736842,6.2105263157894735,289,200,5,14.629731489264781
16.63157894736842,6.2105263157894735,336,200,5,20.29014141200682
16.63157894736842,6.2105263157894735,384,200,5,10.445885083061631
16.63157894736842,6.2105263157894735,431,200,5,22.431880854145675
16.63157894736842,6.2105263157894735,478,200,5,20.00754050804966
16.63157894736842,6.2105263157894735,526,200,5,13.945107355543874
16.63157894736842,6.2105263157894735,573,200,5,24.155743073868408
16.63157894736842,6.2105263157894735,621,200,5,25.34692155116866
16.63157894736842,6.2105263157894735,668,200,5,21.516048359505778
16.63157894736842,6.2105263157894735,715,200,5,20.13572630910355
16.63157894736842,6.2105263157894735,763,200,5,19.967245977993176
16.63157894736842,6.2105263157894735,810,200,5,22.97144556599338
16.63157894736842,6.2105263157894735,857,200,5,18.6205229112279
16.63157894736842,6.2105263157894735,905,200,5,19.18668462300918
16.63157894736842,6.2105263157894735,952,200,5,24.467049724972398
16.63157894736842,6.2105263157894735,1000,200,5,20.277042686921842
21.842105263157894,6.2105263157894735,100,200,5,4.340470436855568
21.842105263157894,6.2105263157894735,147,200,5,33.15970893986908
21.842105263157894,6.2105263157894735,194,200,5,12.588479437969125
21.842105263157894,6.2105263157894735,242,200,5,8.969891459522046
21.842105263157894,6.2105263157894735,289,200,5,11.597336272863611
21.842105263157894,6.2105263157894735,336,200,5,15.444907857703493
21.842105263157894,6.2105263157894735,384,200,5,14.410332499442609
21.842105263157894,6.2105263157894735,431,200,5,15.069504063745265
21.842105263157894,6.2105263157894735,478,200,5,17.007489150776777
21.842105263157894,6.2105263157894735,526,200,5,20.316956077442992
21.842105263157894,6.2105263157894735,573,200,5,29.285490405005
21.842105263157894,6.2105263157894735,621,200,5,23.542306746507336
21.842105263157894,6.2105263157894735,668,200,5,21.889609350143523
21.842105263157894,6.2105263157894735,715,200,5,18.895959526619425
21.842105263157894,6.2105263157894735,763,200,5,22.72220719159144
21.842105263157894,6.2105263157894735,810,200,5,26.248796038103624
21.842105263157894,6.2105263157894735,857,200,5,19.52215898618426
21.842105263157894,6.2105263157894735,905,200,5,21.764724740843363
21.842105263157894,6.2105263157894735,952,200,5,27.987707641376474
21.842105263157894,6.2105263157894735,1000,200,5,17.35700208583602
27.052631578947366,6.2105263157894735,100,200,5,3.1760215108941035
27.052631578947366,6.2105263157894735,147,200,5,25.34951791956407
27.052631578947366,6.2105263157894735,194,200,5,9.584383720807969
27.052631578947366,6.2105263157894735,242,200,5,11.90054646004312
27.052631578947366,6.2105263157894735,289,200,5,14.804287516384067
27.052631578947366,6.2105263157894735,336,200,5,19.149813295981993
27.052631578947366,6.2105263157894735,384,200,5,15.490037604287862
27.052631578947366,6.2105263157894735,431,200,5,20.087818286443426
27.052631578947366,6.2105263157894735,478,200,5,17.59771812242894
27.052631578947366,6.2105263157894735,526,200,5,20.266308522287694
27.052631578947366,6.2105263157894735,573,200,5,17.212875985499736
27.052631578947366,6.2105263157894735,621,200,5,19.001380544679062
27.052631578947366,6.2105263157894735,668,200,5,25.236380318586964
