λ,μ,p,true_p,n,tau,snr,MSE
1.0,1.0,21.0,400.0,200.0,0.0,2.333333333333333,3.9470272739688705
1.0,1.0,21.0,400.0,200.0,1.3183673469387756,2.333333333333333,3.3760222649156537
1.0,1.0,23.0,400.0,200.0,0.0,2.333333333333333,3.9177934530502285
1.0,1.0,23.0,400.0,200.0,1.3183673469387756,2.333333333333333,3.363370553172924
1.0,1.0,25.0,400.0,200.0,0.0,2.333333333333333,3.9154227878282253
1.0,1.0,25.0,400.0,200.0,1.7244897959183674,2.333333333333333,3.33672970597472
1.0,1.0,27.0,400.0,200.0,0.0,2.333333333333333,3.9535858055417425
1.0,1.0,27.0,400.0,200.0,2.1306122448979594,2.333333333333333,3.332950537592418
1.0,1.0,29.0,400.0,200.0,0.0,2.333333333333333,3.9728024843365812
1.0,1.0,29.0,400.0,200.0,2.536734693877551,2.333333333333333,3.327809811917949
1.0,1.0,31.0,400.0,200.0,0.0,2.333333333333333,3.94661246137493
1.0,1.0,31.0,400.0,200.0,2.536734693877551,2.333333333333333,3.321561661552139
1.0,1.0,34.0,400.0,200.0,0.0,2.333333333333333,4.10819901697016
1.0,1.0,34.0,400.0,200.0,1.3183673469387756,2.333333333333333,3.362995011169507
1.0,1.0,36.0,400.0,200.0,0.0,2.333333333333333,4.093285784384165
1.0,1.0,36.0,400.0,200.0,1.7244897959183674,2.333333333333333,3.326852863893805
1.0,1.0,39.0,400.0,200.0,0.0,2.333333333333333,4.206776971787213
1.0,1.0,39.0,400.0,200.0,1.3183673469387756,2.333333333333333,3.3316864386583096
1.0,1.0,43.0,400.0,200.0,0.0,2.333333333333333,4.205501759915182
1.0,1.0,43.0,400.0,200.0,1.3183673469387756,2.333333333333333,3.3130510326221674
1.0,1.0,46.0,400.0,200.0,0.0,2.333333333333333,4.219582234824574
1.0,1.0,46.0,400.0,200.0,1.3183673469387756,2.333333333333333,3.303022785425527
1.0,1.0,50.0,400.0,200.0,0.0,2.333333333333333,4.4807831096700825
