λ,μ,p,n,tau,snr,MSE
1.0,1.0,608.0,200.0,0.0,1.0,1.1281977659571985
1.0,1.0,608.0,200.0,-1.0,1.0,98.60006819487424
1.0,1.0,608.0,200.0,-2.0,1.0,41.15355974313902
1.0,1.0,608.0,200.0,-3.0,1.0,7208.845097086462
1.0,1.0,608.0,200.0,-4.0,1.0,915.4567893285489
1.0,1.0,608.0,200.0,-5.0,1.0,137.89358635161202
1.0,1.0,608.0,200.0,-6.0,1.0,169.7506688245238
1.0,1.0,608.0,200.0,-7.0,1.0,34.32154670426921
1.0,1.0,608.0,200.0,-8.0,1.0,2.6696827138753507
1.0,1.0,658.0,200.0,0.0,1.0,1.1336401635606832
1.0,1.0,658.0,200.0,-1.0,1.0,117.17546059621058
1.0,1.0,658.0,200.0,-2.0,1.0,109.92319082612707
1.0,1.0,658.0,200.0,-3.0,1.0,101.00611713506106
1.0,1.0,658.0,200.0,-4.0,1.0,982.979678524588
1.0,1.0,658.0,200.0,-5.0,1.0,141.68745379301495
1.0,1.0,658.0,200.0,-6.0,1.0,57.05107758270214
1.0,1.0,658.0,200.0,-7.0,1.0,103.1896293345311
1.0,1.0,658.0,200.0,-8.0,1.0,9.81185713900725
1.0,1.0,712.0,200.0,0.0,1.0,1.1209925842050377
1.0,1.0,712.0,200.0,-1.0,1.0,97.48409452295529
1.0,1.0,712.0,200.0,-2.0,1.0,96768.1276698061
