ρ,p,n,snr,MSE
1.0,79.0,200.0,1.0,0.9789552941402905
1.0,85.0,200.0,1.0,1.1509306620805797
1.0,92.0,200.0,1.0,1.297303900097793
1.0,100.0,200.0,1.0,1.3975252117042578
1.0,108.0,200.0,1.0,1.6858866526113097
1.0,116.0,200.0,1.0,2.0632204967638885
1.0,126.0,200.0,1.0,2.6048196402091714
1.0,136.0,200.0,1.0,2.8072774138143024
1.0,147.0,200.0,1.0,2.9916131232354006
1.0,158.0,200.0,1.0,3.888973134438543
1.0,171.0,200.0,1.0,7.776823760281788
1.0,185.0,200.0,1.0,12.88271544718441
1.0,200.0,200.0,1.0,221.61196837854743
1.0,216.0,200.0,1.0,13.44995251372247
1.0,234.0,200.0,1.0,10.355310671117222
1.0,254.0,200.0,1.0,5.725335046884806
1.0,275.0,200.0,1.0,4.619040246237596
1.0,297.0,200.0,1.0,3.2720620568710626
1.0,322.0,200.0,1.0,2.890877565683197
1.0,348.0,200.0,1.0,2.752747630087635
1.0,377.0,200.0,1.0,2.5709855557516197
1.0,408.0,200.0,1.0,2.4609088122314104
