λ,μ,p,n,snr,n_iter,MSE
1.0,3.0,108.0,200.0,2.333333333333333,40152012.5,1.5087707355380329
1.0,3.0,108.0,200.0,3.6666666666666665,40152012.5,1.5087707355380329
1.0,3.0,108.0,200.0,5.0,40152012.5,1.5087707355380324
1.0,3.0,116.0,200.0,1.0,40152012.5,1.725020323211068
1.0,3.0,116.0,200.0,2.333333333333333,40152012.5,1.725020323211069
1.0,3.0,116.0,200.0,3.6666666666666665,40152012.5,1.7250203232110701
1.0,3.0,116.0,200.0,5.0,40152012.5,1.7250203232110708
1.0,3.0,126.0,200.0,1.0,40152012.5,1.9057297921447742
1.0,3.0,126.0,200.0,2.333333333333333,40152012.5,1.905729792144772
1.0,3.0,126.0,200.0,3.6666666666666665,40152012.5,1.9057297921447702
1.0,3.0,126.0,200.0,5.0,40152012.5,1.9057297921447698
1.0,3.0,136.0,200.0,1.0,40152012.5,3.4876209514767167
1.0,3.0,136.0,200.0,2.333333333333333,40152012.5,3.4876209514767162
1.0,3.0,136.0,200.0,3.6666666666666665,40152012.5,3.4876209514767167
1.0,3.0,136.0,200.0,5.0,40152012.5,3.487620951476716
1.0,3.0,147.0,200.0,1.0,40152012.5,3.9063029313865494
1.0,3.0,147.0,200.0,2.333333333333333,40152012.5,3.906302931386552
1.0,3.0,147.0,200.0,3.6666666666666665,40152012.5,3.9063029313865543
1.0,3.0,147.0,200.0,5.0,40152012.5,3.9063029313865556
1.0,3.0,158.0,200.0,1.0,40152012.5,4.365337952407243
1.0,3.0,158.0,200.0,2.333333333333333,40152012.5,4.365337952407234
1.0,3.0,158.0,200.0,3.6666666666666665,40152012.5,4.365337952407228
1.0,3.0,158.0,200.0,5.0,40152012.5,4.365337952407221
1.0,3.0,171.0,200.0,1.0,40152012.5,9.553715244201362
1.0,3.0,171.0,200.0,2.333333333333333,40152012.5,9.553715244201381
1.0,3.0,171.0,200.0,3.6666666666666665,40152012.5,9.553715244201392
1.0,3.0,171.0,200.0,5.0,40152012.5,9.553715244201403
1.0,3.0,185.0,200.0,1.0,40152012.5,16.45858971740395
1.0,3.0,185.0,200.0,2.333333333333333,40152012.5,16.458589717403925
1.0,3.0,185.0,200.0,3.6666666666666665,40152012.5,16.458589717403903
1.0,3.0,185.0,200.0,5.0,40152012.5,16.45858971740389
1.0,3.0,200.0,200.0,1.0,40152012.5,9296.329148709616
1.0,3.0,200.0,200.0,2.333333333333333,40152012.5,9296.329148705398
1.0,3.0,200.0,200.0,3.6666666666666665,40152012.5,9296.329148702294
1.0,3.0,200.0,200.0,5.0,40152012.5,9296.329148699719
1.0,3.0,216.0,200.0,1.0,40152012.5,25.63357224558614
